Name,Volume,Ask Size,Ask Price,Bid Size,Bid Price,Last Price,Shares Matched,Shares Routed
QBER,204,0,0.00,0,0.00,24.96,204,0
TILT,204,0,0.00,1,198.00,226.44,204,0
QSIG,203,0,0.00,0,0.00,48.38,203,0
QMAR,202,0,0.00,0,0.00,29.68,202,0
DJUL,200,0,0.00,0,0.00,42.42,200,0
HSBH,200,0,0.00,0,0.00,53.22,200,0
KAUG,200,0,0.00,0,0.00,26.26,100,100
KSEP,200,0,0.00,0,0.00,26.62,200,0
MVAL,200,0,0.00,0,0.00,34.35,200,0
SFEB,200,0,0.00,0,0.00,22.45,200,0
UDEC,200,0,0.00,0,0.00,35.48,200,0
GDE,190,0,0.00,29,36.60,38.46,190,0
GJUN,190,0,0.00,0,0.00,36.28,190,0
